x_axis,y_axis,z_axis
72,-1265,-1.10368782734252
27,-1189,-0.493349078162602
92,-1013,2.91309789769534
88,-882,1.78838765630555
110,-891,2.11356799399274
40,-661,0.418359481610754
34,-481,0.150291195079036
110,-216,0.426579563374822
60,-423,-0.641068478986875
60,96,-0.410874206232361
109,-42,-0.563897208881386
52,61,-0.279396213062315
45,215,-2.37880386869329
51,489,-0.357939978762706
138,322,-1.14465124934728
113,771,-0.0403006786923285
47,733,0.737560109159347
94,993,-1.12461265325688
31,1296,-0.539028978982827
37,1343,-1.23007727263832
35,1259,0.640529010038616
255,-1308,1.23174524072324
161,-1309,-0.920277046040557
225,-1054,1.13379480235921
178,-933,1.22303997358514
185,-730,0.196711090081843
249,-977,-0.206910379788596
214,-549,0.261964181145376
233,-436,-0.0428383099516086
197,-555,0.0198908740867832
185,-116,-1.00411018515071
299,-47,-0.238864555036309
194,127,0.0417744004530098
261,470,-0.174134503013951
207,281,-1.3157362094126
261,595,-1.23729238683589
210,640,-0.452888544506575
269,618,-1.51292555888145
223,933,-1.05699226944151
198,1011,-0.369832039138089
213,1210,-0.475856915587065
227,1258,-0.841370525164379
346,-1276,2.45231349754611
319,-1372,0.637654924868279
375,-1307,2.19679304702632
326,-906,-0.322404186177685
410,-627,-1.93246463659264
428,-797,-5.47246642433741
368,-477,0.438295368950652
382,-429,-0.359305148452302
439,-533,-7.59864507291348
433,84,-5.90285140622389
348,-41,-0.224097518305958
343,-158,-0.723750656728071
440,591,-8.34731119262688
414,538,-4.66523094183714
424,317,-5.48446024716217
423,910,-4.530977053608
402,641,-2.16614086813958
347,804,0.518919415392716
427,1294,-5.93706600566838
358,1278,-1.48011455489255
330,1057,-0.930975029989175
477,-1214,-14.4223477938107
592,-1206,-22.7361590534631
479,-1052,-17.1608020060851
562,-937,-24.758280804531
595,-825,-25.5188672654265
498,-819,-21.6630274191415
580,-567,-26.1912746247175
480,-434,-18.5530085950644
488,-292,-21.5521359422492
566,-31,-26.289738175957
505,54,-23.5086472023066
469,9,-16.2697908050568
556,578,-25.7824336314743
573,379,-28.0834299632573
489,429,-20.8197001624914
596,696,-26.8503218149342
548,813,-26.288351259198
486,971,-20.2680093121267
515,1346,-25.2042957895499
511,1390,-24.8505179198233
530,1079,-26.4970275378862
676,-1130,-24.409667317308
673,-1045,-24.8938916415466
694,-1008,-24.3296475030198
651,-921,-25.8496552640321
710,-976,-23.4266186417945
627,-920,-25.3538144075117
733,-335,-19.6413786670903
712,-444,-23.3136984821115
709,-253,-24.6653980563488
610,150,-26.8415717630895
702,112,-25.8383512998389
733,77,-19.3053544892921
718,536,-24.0221013071037
738,433,-19.1368081701057
672,466,-28.1273585084902
728,736,-20.6925099357201
712,704,-24.0748829550175
738,866,-17.2313711451381
682,1327,-26.244384517396
651,1311,-26.9170671248162
730,1218,-19.3263141635122
784,-1203,3.78832024759009
870,-1188,11.0147754487158
845,-1245,10.2150404128746
871,-645,10.7759936115806
786,-944,4.85222859286825
801,-758,8.22063947421623
849,-582,10.0942930662364
794,-544,6.20238367530381
860,-429,10.6004079168799
836,143,8.43562312416222
878,195,9.325192056111
865,117,9.46676056997641
829,481,7.43922258418552
798,535,4.42786823991139
842,503,8.33083484250386
779,802,1.62424211678524
812,776,8.38014611165709
796,672,5.40377404934341
766,1337,-4.76005963209503
783,1247,3.28924409526775
775,1284,-0.0674579475004729
938,-1186,10.0519518470279
910,-1113,12.0154721231952
978,-1173,10.2777344128421
1038,-926,11.3175136536495
954,-755,11.5967365404123
934,-756,11.7796949405895
930,-458,10.6114411852432
932,-305,8.7708578419354
951,-217,9.13943808505237
952,-131,9.30824696269248
937,94,9.61860807684418
1015,169,9.65008113852731
1019,403,8.58337296693169
936,412,8.43910896616556
939,572,9.9216384331012
1006,614,11.0170196263616
940,792,10.7426102836274
923,999,10.0623991091878
945,1274,9.63579380031478
1012,1046,8.52278162201232
973,1223,9.5536011234046
1159,-1323,11.5635415963817
1183,-1112,11.3654952639083
1130,-1204,9.365299984079
1069,-707,11.3572457062745
1190,-681,10.9545051802982
1124,-734,11.2074400588267
1146,-563,9.36207878573053
1067,-249,9.99449437676583
1073,-378,10.3755952431348
1113,-66,9.02356181206688
1191,-84,10.5920315276782
1107,144,9.28040695724411
1112,547,9.44643331134433
1189,212,11.5367399457199
1164,574,10.3316748268341
1189,992,11.5971042296603
1102,979,9.07166279573173
1142,792,9.48444838277155
1139,1221,9.70869482143628
1162,1313,11.6515498125851
1102,1027,8.90206386249502
1237,-1343,17.7109893926362
1312,-1023,20.7358733133366
1338,-1131,19.6231775946251
1215,-780,14.3565011295803
1228,-892,17.2860663702473
1347,-633,20.3202954639686
1338,-226,18.2278569933883
1279,-549,16.9540821046375
1225,-280,14.0158729525634
1286,82,20.1052963204065
1288,-129,17.4047312608327
1299,133,20.1792391918049
1347,548,19.2392659951316
1210,379,12.3512186557051
1274,277,17.5337920285777
1273,907,18.1245345637324
1329,875,20.5061263736806
1232,640,15.0200162344428
1252,1062,17.2060615480036
1295,1259,18.7613100506471
1280,1385,19.9846110136638
1442,-1001,21.2815906944802
1474,-1181,25.0876682825576
1479,-1008,26.1252957422899
1446,-745,22.256590305155
1455,-857,22.0757699942716
1463,-951,22.9580594291306
1413,-386,21.1162533922653
1386,-315,18.8576788609566
1404,-353,20.6286470197475
1426,-155,21.1976368291868
1378,-118,20.5970894034231
1467,-163,23.5654287268421
1386,559,19.2840438690007
1452,416,23.7977940968642
1360,454,19.2747372342186
1380,913,20.4782777248444
1495,738,31.5748718335361
1405,870,19.9091815735719
1419,1188,21.3588481445788
1394,1385,19.7987571445566
1415,1335,19.5376475707108
1512,-1216,36.7281251665256
1614,-1343,50.3949982304506
1565,-1115,45.9446928833881
1627,-768,46.5014825556997
1546,-941,43.7227112170497
1514,-738,39.1477677311342
1570,-241,47.6484441346284
1547,-538,46.9449744102089
1643,-222,47.2585125393907
1577,-7,48.3177503766231
1513,-77,38.4802588523155
1551,0,46.2118370914473
1552,475,47.1545682889557
1583,328,49.4386091194553
1649,302,49.8558818810418
1566,733,47.9631321250959
1527,815,42.5578045547797
1580,680,48.4827356234987
1644,1243,48.9949479198039
1578,1052,49.5370677950094
1628,1248,49.3336156635642
1696,-1119,46.9632209852032
1684,-1379,50.1327673836446
1697,-1225,47.9413137833748
1677,-902,46.222620362982
1757,-779,45.6765656366018
1721,-907,45.9967598236403
1734,-592,46.5801187656155
1707,-396,48.4320294518714
1769,-364,49.4911255893081
1766,-87,48.6687412704782
1684,-82,48.8711826444977
1795,-113,48.1359413707159
1742,370,50.3866740091811
1764,512,50.6133825373624
1768,532,50.7974586893524
1787,842,49.5681676804306
1678,757,49.0818393304551
1788,757,51.1711003744881
1722,1332,48.5175788737602
1774,1132,51.1993140644469
1674,1043,49.9166895183052
1843,-1387,47.4379441553232
1887,-1311,46.7920924780159
1838,-1333,45.9713846666917
1929,-765,50.2522003726251
1919,-883,48.6352220308469
1948,-819,53.9588161128214
1832,-375,49.7292306724662
1856,-378,49.9722413766895
1910,-287,52.054911208105
1831,109,51.3768993882168
1909,75,53.9804723158387
1838,78,51.6441777575811
1883,384,52.6213249179843
1831,448,51.3363289788475
1869,354,52.2383395356662
1878,635,51.3882235307673
1861,719,50.170323998785
