x_axis,y_axis,z_axis
95,-843,-0.43016
110,-924,1.1748
134,-845,0.043402
125,-881,0.85569
118,-980,1.7472
122,-860,0.52359
111,-684,-0.94826
17,-777,-1.6621
22,-626,-0.48865
76,-618,0.028584
42,-633,-0.14158
39,-696,-0.35871
54,-500,-0.47042
54,-524,-0.48849
87,-561,0.29386
101,-509,-0.49504
112,-417,-0.076884
68,-470,0.08711
41,-290,2.5404
89,-317,2.3728
40,-232,4.3346
134,-282,3.1483
144,-219,2.7778
23,-315,1.5834
80,-104,2.994
46,-160,4.0529
150,-50,2.6106
129,-164,3.0335
104,-122,3.2612
127,-94,2.5911
145,127,2.6826
50,115,1.4854
25,73,1.7984
118,55,1.7646
37,130,2.0618
37,40,1.659
36,287,3.5099
92,315,2.8829
99,212,1.6835
118,281,2.2304
134,388,1.5711
11,295,3.9873
141,564,-2.5192
102,476,0.72286
136,425,0.8984
139,467,0.36291
124,520,-0.44198
49,552,1.5601
85,684,-1.2006
50,730,-0.82213
13,655,-1.8307
26,756,-0.84787
96,750,-0.76856
107,608,-2.2627
112,906,0.29387
19,876,0.064843
73,866,-0.054522
127,921,0.42797
96,887,0.77469
79,976,0.4384
222,-839,-1.1834
172,-868,0.4854
285,-812,-6.9694
245,-991,-0.75206
177,-804,-0.15836
251,-947,-0.75113
199,-750,-1.0214
196,-784,-0.33259
238,-679,-0.77143
291,-762,-8.9205
274,-690,-5.0342
200,-630,0.94717
223,-528,-1.0488
266,-591,-3.2446
297,-515,-11.524
196,-454,0.44421
299,-462,-11.947
240,-410,-0.79831
175,-376,-0.041776
227,-263,0.84713
273,-259,-4.8032
198,-332,0.65764
228,-317,0.40242
281,-281,-5.9763
196,-78,2.6088
227,-163,1.6627
215,-48,2.9776
244,-40,1.4184
162,-92,2.1855
253,-108,0.34617
206,123,3.4541
271,131,-1.1012
225,105,3.1062
247,191,1.1354
248,69,1.0035
193,148,3.4552
287,381,-9.469
196,264,0.43015
291,269,-9.7677
225,319,-0.69129
210,382,0.2646
288,214,-7.3693
257,487,-4.9142
168,510,-1.095
208,480,-1.9136
189,540,-2.617
275,484,-8.3603
164,599,-2.9673
225,749,-0.73159
239,777,-0.67087
204,718,-0.7618
259,616,-5.4737
287,687,-8.9301
170,678,-1.5883
258,993,-5.1661
199,857,-0.41264
174,856,-0.60959
286,955,-9.4518
162,965,-0.31882
286,827,-8.0814
443,-812,-21.46
411,-828,-23.19
313,-899,-16.656
397,-945,-25.19
403,-848,-23.585
448,-871,-19.194
425,-763,-23.085
324,-661,-18.434
413,-711,-21.632
408,-751,-23.89
383,-790,-23.083
433,-658,-20.883
392,-580,-23.138
434,-467,-18.82
384,-492,-21.51
443,-525,-16.929
333,-578,-19.132
407,-569,-21.86
398,-217,-22.358
373,-340,-23.123
366,-380,-22.796
426,-248,-21.44
324,-272,-18.16
347,-286,-22.235
436,-138,-20.114
414,-76,-21.572
396,-117,-22.4
374,-129,-21.907
332,-8,-18.757
383,-4,-22.623
421,181,-22.756
367,177,-22.584
445,62,-19.595
355,118,-20.843
339,107,-18.855
375,147,-21.931
401,331,-26.249
330,333,-21.785
428,307,-25.825
404,268,-25.813
375,233,-23.991
316,310,-18.665
329,577,-22.496
447,590,-22.431
347,446,-23.977
348,493,-25.376
407,554,-25.303
313,555,-19.104
415,615,-24.761
377,615,-24.7
317,729,-17.812
346,657,-22.416
361,663,-23.493
425,654,-24.073
415,825,-24.953
450,867,-20.88
318,867,-17.557
348,843,-23.144
343,946,-23.474
377,871,-24.646
497,-883,-2.6196
477,-930,-10.159
487,-836,-6.3087
481,-898,-8.581
583,-849,-4.7967
473,-914,-11.788
576,-657,1.2107
517,-607,2.4253
467,-621,-12.646
472,-658,-10.677
524,-622,4.1936
471,-691,-11.042
482,-492,-4.5907
566,-443,2.3467
496,-433,0.38789
584,-487,-1.1286
526,-403,5.9934
576,-407,1.1937
460,-207,-15.582
469,-223,-11.93
539,-378,5.3691
563,-230,3.0243
511,-344,2.6676
546,-287,3.7816
564,-68,3.4488
493,-176,-1.9662
598,-54,-7.0851
467,-55,-11.817
586,-185,-2.1676
493,-120,-1.994
551,25,3.0515
503,30,0.17908
498,187,-4.4184
558,117,1.6036
539,179,1.2142
