x_axis,y_axis,z_axis
125,-1158,0.0241664021000208
53,-1076,-0.972009770503588
44,-1267,0.282750378201537
59,-1043,-1.16845621719047
74,-1081,-0.884605120019433
28,-1011,-1.27321182619007
120,-1328,1.79013482715492
78,-1053,-1.10161874679097
19,-1074,-0.534203514711327
57,-771,-3.21864581665084
95,-857,-2.31571752190428
97,-765,-3.1462200691388
19,-687,-2.42589449136401
142,-656,-2.67225670271488
93,-666,-3.41008366365099
11,-809,-2.52923761366099
82,-723,-3.21370489470639
69,-858,-2.47421166818144
138,-493,-2.55383970616451
138,-211,-2.44091611339211
68,-303,-3.05775404287069
50,-349,-2.56599035555119
125,-401,-2.77277223850932
20,-257,-2.67862150091385
63,-560,-3.02206547861556
80,-538,-2.5188035637146
141,-260,-2.80401025609597
11,67,-0.942265589082056
71,181,-1.10160877395775
36,67,-1.14420494796218
126,147,-0.544115899826522
58,-171,-1.71655585582387
53,-84,-1.49056953547752
37,-6,-1.09547613610049
71,146,-0.629172895031719
123,-169,-1.72796298299759
120,435,1.20173329018484
85,325,-0.259403670484282
92,495,1.7431398376586
124,339,-0.420623593367747
91,517,1.36797584935913
120,227,-1.30329249897678
115,590,0.769503570219008
132,553,2.15738273689345
74,474,1.19519659954014
69,854,0.0111632844421234
37,764,-0.0722147042752746
138,812,1.91633515107423
11,646,-1.92670315105616
118,801,1.73742809749269
69,700,0.108663909483787
51,910,0.321033331235617
55,615,-0.659976476736973
140,686,2.44206930578928
54,1086,-1.21860898778009
75,1251,-0.929704806496402
67,1201,-1.60167739464785
131,1387,-0.637357746315087
138,1184,-2.05812082349746
59,1385,0.0568216215638228
55,1290,-0.233442862841053
41,1172,-1.29813772255765
130,1104,-1.51403139394916
226,-1083,-1.58049619542147
220,-1320,1.07103443776192
180,-1142,0.384164178248562
197,-1294,1.44664589226736
178,-1200,0.844000919978409
297,-1260,-12.2664156945273
260,-1194,-4.02811337193054
266,-1071,-7.29883476222448
180,-1014,-1.76548014903699
220,-866,-1.7819986397703
262,-956,-8.07752501042092
199,-730,-1.89253522871823
175,-809,-1.43213735733259
248,-845,-3.91462943513187
184,-689,-2.15683644806638
283,-951,-12.8346391072707
197,-898,-1.25554921209441
257,-673,-5.47145373663467
184,-296,-2.47193732255325
195,-234,-2.67355658296394
280,-580,-12.3851413178206
263,-380,-8.65788833834326
251,-280,-6.18918119281341
186,-465,-3.34508159078481
280,-288,-12.8664821292802
278,-215,-12.6406887047345
227,-360,-3.75702128071723
