x_axis,y_axis,z_axis
120,-804,-1.0292
78,-976,2.0942
17,-812,-2.2535
80,-915,0.77095
16,-927,-0.68061
17,-988,0.52178
146,-811,-0.80564
91,-874,0.78351
75,-880,0.42314
13,-723,-0.51778
79,-689,-0.61951
61,-746,-2.1813
101,-629,0.12908
12,-651,-0.21317
80,-779,-1.9139
135,-611,0.44958
148,-791,-0.57214
65,-654,-0.053778
137,-443,-0.25267
10,-415,2.252
25,-439,1.7782
21,-475,1.2557
117,-579,0.47222
37,-451,1.1532
35,-518,-0.65138
17,-507,-0.0084762
53,-548,-0.91673
119,-215,3.1766
50,-265,3.4954
47,-370,1.1815
79,-375,1.3219
67,-388,0.99628
58,-341,1.77
71,-244,4.595
24,-231,3.3564
59,-315,2.273
91,-92,2.7846
61,-87,3.1402
82,-187,4.046
145,-156,3.2079
128,-37,1.9975
69,-38,3.1576
141,-113,2.6492
50,-44,3.3293
35,-112,2.4219
105,110,1.8435
10,124,2.6148
128,106,2.4521
97,72,1.1395
118,121,2.1235
100,28,1.6436
77,187,1.5706
111,184,2.2737
34,57,1.4743
16,272,4.7836
52,285,3.0806
139,290,1.6874
100,245,2.172
67,346,1.9824
53,233,2.7035
55,211,2.2602
133,366,1.9698
47,363,1.8838
121,435,1.4672
61,433,1.6
9,584,1.1799
87,567,0.086749
38,417,1.2344
31,464,0.75413
55,461,0.88045
29,488,1.0408
133,591,-2.6834
137,667,-1.3358
49,641,-1.7206
147,695,-0.9194
92,645,-1.4593
62,768,-0.86848
131,734,-1.0614
106,793,-0.87704
21,634,-1.3067
73,647,-1.603
29,927,-0.45946
110,929,0.48976
111,875,0.53497
46,994,1.3515
39,841,-0.34426
101,856,-0.2164
132,966,1.0351
17,845,-0.029746
103,821,-0.48734
209,-908,-0.58658
224,-864,-1.4308
208,-802,0.095821
233,-814,-0.47561
235,-908,-0.97856
262,-842,-3.385
297,-906,-11.609
260,-970,-1.6054
294,-932,-9.4479
290,-637,-8.4307
165,-753,-1.0367
166,-715,-0.54229
265,-617,-4.0447
292,-742,-8.7985
214,-638,0.4556
245,-644,-1.7103
207,-689,-0.16926
222,-773,-0.70274
172,-591,0.040137
248,-453,-2.8357
270,-555,-4.315
212,-551,-1.6414
165,-465,0.31296
189,-523,-0.0040168
170,-431,0.36956
262,-467,-4.6536
262,-412,-3.103
207,-226,1.5572
164,-350,1.2255
254,-213,-1.7152
294,-344,-9.5526
208,-373,-0.34171
171,-295,2.0421
188,-354,0.14027
197,-293,1.4173
223,-217,0.60846
275,-181,-4.1924
225,-67,2.4433
227,-107,1.7748
253,-157,-0.67481
295,-161,-9.1081
160,-182,3.3004
185,-160,3.7422
190,-128,3.0615
178,-55,2.927
272,79,-1.6835
221,67,1.3291
220,176,2.6632
254,50,0.064205
292,161,-7.2299
213,87,2.6175
228,127,3.1178
295,39,-8.5147
220,198,2.2841
187,301,0.6672
241,270,-1.0686
291,235,-8.737
180,316,1.0154
248,291,-2.4064
163,385,0.95522
223,361,-0.044033
266,378,-4.7658
276,258,-5.4228
229,412,-0.87306
294,479,-13.572
262,594,-6.5339
247,523,-5.1588
169,477,-1.0895
300,408,-14.093
182,599,-2.9697
204,524,-3.1543
268,526,-7.9082
159,637,-2.0479
209,762,-0.14588
204,679,-1.2518
237,647,-2.5919
271,662,-5.392
175,696,-1.1037
257,632,-4.7406
162,746,-0.091487
254,746,-3.2136
203,928,0.023531
199,821,-0.18414
177,906,0.73354
269,975,-6.4627
259,902,-2.6678
256,867,-2.7013
235,906,-0.47218
209,985,-2.449
221,949,-0.59637
319,-808,-17.737
365,-859,-22.901
439,-987,-21.794
341,-813,-21.534
419,-971,-23.946
356,-974,-23.244
326,-846,-19.167
344,-903,-22.209
388,-869,-23.416
378,-701,-22.714
342,-778,-21.382
449,-779,-20.094
402,-635,-23.254
343,-712,-21.567
384,-674,-22.701
336,-614,-20.033
419,-690,-21.669
324,-626,-17.687
354,-424,-21.521
338,-523,-19.293
418,-444,-21.185
327,-497,-18.153
